protein	cisonly	proposed_0.001	proposed_0.0005	proposed_0.0001	proposed_0.00005	proposed_0.00001	proposed_0.000005	proposed_0.000001
cardiom_PRCP	0.001412484	0.0001340313	NA	0.002488978	NA	NA	NA	NA
cardiom_CA1	0.02190625	0.003652036	0.006446966	NA	0.0004854978	NA	NA	NA
cardiom_ICAM1	0.1191666	0.08414835	0.07108032	0.1049855	0.09904326	0.09583629	0.08287266	NA
cardiom_CHL1	0.05765897	0.005397039	0.007647567	NA	NA	NA	NA	NA
cardiom_TGFBI	0.1628312	0.1676598	0.1373671	0.1656458	0.1693492	0.1572762	0.1483034	0.1545872
cardiom_ENG	0.02020839	0.00449108	0.0007676643	0.003882064	0.01155001	0.009814119	0.02236544	0.006454784
cardiom_PLTP	0.03115391	0.01722412	0.02297817	0.03005436	0.02070483	NA	NA	NA
cardiom_SERPINA7	0.1428489	NA	0.001277846	0.002680631	0.003596441	NA	NA	NA
cardiom_IGFBP3	0.06203013	0.06310589	0.06256898	0.06489567	0.06353976	0.06016755	0.05896689	0.06146067
cardiom_CR2	0.01314484	0.0001141933	NA	0.000232385	NA	NA	0.008079873	0.005094507
cardiom_SERPINA5	0.01144264	0.006164247	0.004896078	0.0001669068	0.001371177	NA	NA	NA
cardiom_FCGR3B	0.1877664	0.05031532	0.06377428	0.0817507	0.0877865	0.1045441	0.09717849	0.1139782
cardiom_IGFBP6	NA	0.0008610788	0.005674851	0.004768339	0.0001267681	0.0001593522	0.0001582507	NA
cardiom_CDH1	NA	0.03306359	0.04187669	NA	0.0202916	NA	NA	NA
cardiom_CCL5	0.05051795	0.01596791	0.01953261	0.007056777	NA	NA	NA	NA
cardiom_CCL14	0.09011192	0.108227	0.1033281	0.1327219	0.1221213	0.1790052	0.1795145	0.1614297
cardiom_GNLY	0.2687361	0.2136536	0.2063991	0.2258633	0.238826	0.2403549	0.2438385	0.2539692
cardiom_NOTCH1	NA	0.003255538	0.001551316	0.00744479	0.002129828	NA	NA	NA
cardiom_PAM	0.06717069	0.02955528	0.01180961	0.03121128	0.0194254	0.07464685	0.06808199	NA
cardiom_PROC	0.006251186	0.05685054	0.06390468	0.07679371	0.06186301	NA	NA	NA
cardiom_CST3	0.01339884	NA	0.0006076652	0.002866859	0.001780347	0.004122121	NA	NA
cardiom_NCAM1	0.03027571	0.02591484	0.01668719	0.02310073	0.01497187	0.008278751	0.01810707	NA
cardiom_PCOLCE	0.005929102	NA	NA	NA	NA	0.0003516594	0.0004346934	NA
cardiom_LILRB1	0.3185577	0.1934846	0.2055727	0.2423894	0.2782262	0.2847191	0.2966924	0.2862153
cardiom_MET	NA	NA	0.0003423673	NA	NA	NA	NA	NA
cardiom_LTBP2	0.001291996	0.001339428	0.0007332325	NA	NA	NA	NA	NA
cardiom_IL7R	0.2389603	0.2484802	0.2364825	0.2616044	0.2621793	0.2500773	0.2520492	0.2719902
cardiom_VCAM1	0.09211136	0.03920521	0.05221574	0.08288799	0.07839666	0.06908016	0.05916464	NA
cardiom_SELL	0.02550893	0.01922169	0.02168808	0.04834934	0.03816618	0.02367541	NA	NA
cardiom_F11	0.03767034	0.01057725	0.03557433	0.03674122	0.04595584	NA	NA	NA
cardiom_COMP	0.009490733	0.001712856	0.0006548243	0.0006090443	0.003728619	0.004440453	0.004103075	NA
cardiom_CA4	0.02002565	NA	NA	NA	NA	NA	NA	NA
cardiom_PTPRS	NA	0.0001213391	NA	0.0003254976	0.001201308	NA	0.002287028	0.0002337625
cardiom_MBL2	0.5037063	0.4451664	0.4538396	0.4536606	0.4541016	0.4794923	0.4914464	0.5085914
cardiom_TIMP1	0.01696059	NA	0.01766395	NA	0.03398508	0.03338509	0.03243239	0.006886533
cardiom_ANGPTL3	0.08419579	0.1029075	0.06415172	0.1111861	0.1118041	0.09418005	0.1038776	0.1000226
cardiom_REG3A	NA	0.0001967059	0.0009409998	NA	NA	0.0003406334	0.0005125405	0.001530566
cardiom_SOD1	NA	NA	NA	NA	NA	0.005670977	NA	NA
cardiom_CD46	0.0005405419	0.002691281	0.001634127	0.0001512805	0.003232404	NA	NA	NA
cardiom_ITGAM	NA	0.0007570624	NA	0.001140252	0.0006060581	0.0001953891	0.002708114	NA
cardiom_TNC	0.03076504	0.01096965	0.01532228	0.006275644	0.008036228	0.004570068	NA	NA
cardiom_NID1	0.01581804	0.009161549	0.009020832	0.002095312	0.006379609	0.0003414684	0.0007501684	NA
cardiom_CFHR5	0.05036138	0.06435468	0.06052467	0.05922035	0.06152588	0.0588093	0.06158661	0.05569473
cardiom_SPARCL1	0.2151561	0.1957196	0.194558	0.190284	0.1917247	0.2064689	0.2118014	0.2116779
cardiom_PLXNB2	0.1328159	0.1491102	0.1470637	0.1643427	0.1642237	0.1634167	0.1634167	0.1379449
cardiom_MEGF9	0.0213974	0.0002236036	0.001258784	0.003081307	NA	NA	NA	NA
cardiom_ANG	0.2808501	0.2004511	0.2069396	0.2222511	0.2015678	0.2559394	0.2592508	0.2475917
cardiom_ST6GAL1	0.01592676	0.01571961	0.02623909	0.02503201	0.02983525	0.0286352	NA	0.01081562
cardiom_DPP4	0.0004154316	NA	NA	NA	NA	NA	NA	0.007556583
cardiom_REG1A	0.02722147	0.01085516	0.01400949	0.007117434	0.005207465	0.00240502	0.0001364325	0.0004156713
cardiom_QPCT	0.08323245	0.0005396667	0.01352238	0.04113355	0.05489629	0.07020862	0.08132239	0.09723428
cardiom_FCN2	0.2122999	0.1829393	0.1891536	0.2060627	0.2282723	0.2245621	0.2275268	0.2299083
cardiom_FETUB	0.1038208	0.06376604	0.06528152	0.1151704	0.1219177	0.1525007	0.1478222	0.1878864
cardiom_CES1	0.1263074	0.02771634	0.02705005	0.03692138	0.04935934	0.07147245	0.07729091	0.09334945
cardiom_CRTAC1	0.1018558	0.3345867	0.3456919	0.3513269	0.3681613	0.3558474	0.3543997	0.3549258
cardiom_TCN2	0.3331132	0.248002	0.3002271	0.3400478	0.3572192	0.3743029	0.3549854	0.288898
cardiom_PRSS2	0.03271612	0.001903354	0.005392518	0.008757648	0.00705718	0.009487868	0.0004744105	NA
cardiom_ICAM3	0.01354505	0.005677555	0.0002949231	0.004030302	0.0001842917	0.0006494661	0.003481941	0.003537504
cardiom_SAA4	0.3527347	0.3092931	0.3020502	0.2552355	0.3184669	0.3405935	0.3421109	0.3443007
cardiom_CNDP1	0.01022164	0.004364254	0.008895816	0.0008054967	0.0005430702	0.002266424	NA	NA
cardiom_FCGR2A	0.4016473	0.3970744	0.3992679	0.4045604	0.4106365	0.4566301	0.4485002	0.416089
cardiom_NRP1	0.0123824	NA	NA	NA	NA	NA	0.006043048	0.003000833
cardiom_EFEMP1	0.0194224	0.001160905	0.001620341	NA	NA	NA	NA	NA
cardiom_TIMD4	0.002277802	0.01888179	0.0136876	0.004463503	0.001211388	0.00242752	0.002424173	NA
cardiom_FAP	0.0218408	0.002519346	0.0002007211	0.0123585	0.006114826	0.0001842965	NA	NA
cardiom_TIE1	0.004913626	0.1354949	0.15701	0.1817031	0.1477043	0.1601549	0.167474	0.2102085
cardiom_THBS4	0.002468873	NA	NA	NA	NA	0.0004305212	0.001955991	NA
cardiom_F7	0.1575912	0.08201509	0.08365682	0.1579098	0.1556906	0.1510788	0.1509321	0.1589603
cardiom_GP1BA	0.007360359	NA	NA	NA	NA	NA	NA	NA
cardiom_LYVE1	0.00862785	0.006040435	0.002689526	0.00787877	0.004765573	0.002879402	0.001259437	NA
cardiom_CA3	NA	0.009987994	0.0217998	0.002126715	0.0002950918	NA	NA	0.0002773973
cardiom_TGFBR3	NA	0.0001768986	0.00124998	0.0004770703	0.0004962826	NA	NA	0.002091548
cardiom_DEFA1	0.0001554581	NA	0.003374663	0.001918864	0.005173507	0.008545081	0.01052895	NA
cardiom_CD59	NA	0.0002650684	0.0001558671	NA	NA	0.003113384	0.0009423312	0.0005761346
cardiom_APOM	0.03187999	0.01615549	0.00636182	0.003108898	NA	0.001597095	0.005596755	0.0001227762
cardiom_OSMR	0.0599032	0.07468635	0.08022991	0.07911687	0.0812903	0.08803276	0.08523132	0.09974861
cardiom_LILRB2	0.396912	0.3410226	0.3201847	0.3296925	0.3404619	0.349489	0.365241	0.3566252
cardiom_UMOD	0.1428128	0.1079398	0.1311377	0.1256018	0.1280749	0.1282705	0.1274244	0.1327415
cardiom_CCL18	0.1253823	0.04693576	0.04934776	0.07105883	0.07996573	0.1063132	0.05723088	0.09166348
cardiom_COL18A1	0.01774047	0.01151792	0.01648707	0.00621644	0.01522241	0.0008147093	0.02006202	0.02222493
cardiom_LCN2	0.0344758	0.01487625	0.003050439	0.03550472	0.03557243	0.03756469	0.02745319	0.0151218
cardiom_KIT	0.02368605	0.003657066	0.002815287	0.001593194	0.004666441	0.02938607	0.02117311	0.01132655
cardiom_C1QTNF1	0.001587352	0.003287373	0.001246574	NA	NA	NA	0.0003817261	NA
cardiom_AOC3	0.2002242	0.1370994	0.1434063	0.1715375	0.1775816	0.210576	0.2158378	0.2108478
cardiom_GAS6	0.06130648	0.04474406	0.03998414	0.03216721	0.03101152	0.02424565	0.02385898	0.01519675
cardiom_IGLC2	0.01537767	0.01650491	0.006398522	0.002613978	0.0007091825	0.0007215115	NA	NA
cardiom_PLA2G7	0.02500576	0.01838503	0.01518127	0.009113829	0.009100309	0.01337298	0.01639246	0.01771971
cardiom_TNXB	0.04120532	0.02779566	0.01637885	0.03985637	0.04398903	0.0452795	0.04310444	0.05520985
cardiom_MFAP5	NA	0.001752135	0.0003243317	0.0008863951	0.0005861582	0.001135943	0.0002936016	0.003613624
cardiom_VASN	0.06689727	0.005206793	0.02148901	0.06800259	0.1051405	0.1199829	0.1328594	0.07568755
cardiom_LILRB5	0.7347253	0.7087461	0.6930998	0.7098871	0.7215768	0.7280027	0.7339731	0.732295
cardiom_C2	NA	0.04920589	0.04735421	0.04245745	0.04353276	0.07345328	0.07231265	0.05517221
cardio2_BMP.6	0.02223946	NA	NA	NA	NA	0.003687601	0.002426725	0.00324075
cardio2_ANGPT1	0.0136559	0.05843803	0.03125716	0.02664556	0.03934746	0.01106028	0.005305014	0.000834091
cardio2_ADM	0.07667778	0.09389801	0.0922355	0.03871313	0.04428075	0.02490359	0.02573687	0.002981078
cardio2_CD40.L	0.003384693	0.01208259	0.01396882	0.001821452	0.0009691487	0.002380342	NA	NA
cardio2_SLAMF7	0.1476818	0.07947257	0.1517358	0.1138365	0.1520893	0.1530377	0.1592706	0.1590174
cardio2_PGF	0.0802257	0.06158462	0.07004769	0.06791966	0.03308956	0.03184594	0.03779576	0.009630227
cardio2_ADAM.TS13	0.02054425	0.003652508	0.02347231	0.015075	0.01738316	0.01822491	0.01487502	0.01921255
cardio2_BOC	0.006449113	NA	NA	NA	NA	NA	NA	NA
cardio2_IL.4RA	0.0397325	0.02380057	0.01844618	0.02853663	0.02437518	0.04891183	0.03289106	0.05325926
cardio2_SRC	NA	NA	NA	NA	NA	NA	NA	NA
cardio2_IL.1ra	0.002817585	NA	NA	0.004052582	0.004912231	0.00110546	0.001680001	NA
cardio2_IL6	0.001760072	NA	NA	NA	NA	NA	NA	NA
cardio2_TNFRSF10A	0.1368737	0.101315	0.1119502	0.1216723	0.1032506	0.1313223	0.1350509	0.1230935
cardio2_STK4	0.0004492607	0.002674632	0.005742434	NA	0.0003359381	0.006550538	NA	NA
cardio2_IDUA	0.1587215	0.08442234	0.08859446	0.09722846	0.0975417	0.1060883	0.1269682	0.1178232
cardio2_TNFRSF11A	0.02635749	NA	NA	NA	0.003593959	NA	0.02319834	0.03184531
cardio2_PAR.1	0.03454271	0.02050322	0.01335958	0.02020853	NA	NA	0.0003167298	NA
cardio2_TRAIL.R2	0.04476599	0.01044039	0.04385822	0.01745443	0.006355836	0.0009909598	0.001336108	NA
cardio2_PRSS27	NA	0.05885932	0.06119788	0.06669857	NA	0.06976745	0.06741701	0.06451958
cardio2_TIE2	0.0374727	0.1802606	0.1750262	0.1630455	0.1661247	0.1827363	0.1802948	0.08878531
cardio2_TF	0.02739627	0.02002053	0.01508887	0.02378317	0.05927783	0.02964718	0.04716896	0.07622658
cardio2_IL1RL2	0.1958158	0.1737722	0.1739752	0.193235	0.2060892	0.2181954	0.2217931	0.08781967
cardio2_PDGF.subunit.B	0.03209177	0.05337394	0.04753584	0.04081383	0.02942997	0.007461287	0.001612402	0.0009407476
cardio2_IL.27	0.119241	0.4683237	0.4703594	0.4567463	0.4532559	0.4501525	0.4396648	0.4615171
cardio2_IL.17D	0.0477507	0.01742801	0.03991381	0.0346971	0.01418659	0.01788163	0.02340796	0.0008356901
cardio2_CXCL1	NA	0.0003387899	0.0001419154	0.0001226427	NA	NA	NA	NA
cardio2_LOX.1	0.02120075	0.02028752	0.02072984	0.02884914	0.02238943	0.02057437	0.03493779	0.02727062
cardio2_Gal.9	0.08213462	0.05937485	0.07025054	0.05048807	0.05349393	0.06259278	0.06724883	0.06467542
cardio2_GIF	0.02669455	0.05930147	0.06028468	0.02139237	0.01550244	0.02704723	0.001664965	NA
cardio2_SCF	0.03377086	0.03394426	0.01353352	0.01807048	0.02022977	0.01192067	0.007641084	0.004090503
cardio2_IL18	0.002922252	0.01482792	0.0130609	0.003279348	0.002546325	0.004578453	NA	0.0004150703
cardio2_FGF.21	0.03612787	0.01161396	0.002976316	0.01312596	0.008484289	0.01786058	0.01638064	NA
cardio2_PIgR	0.1283784	0.08170394	0.07766219	0.07500222	0.06422093	0.07280706	0.06935319	0.04458946
cardio2_RAGE	0.1806735	0.2074614	0.208063	0.1902867	0.1760069	0.1235302	0.09292324	NA
cardio2_SOD2	NA	0.01963915	0.01472116	0.002344805	0.004135597	NA	NA	NA
cardio2_CTRC	0.05235738	0.08983361	0.0798892	0.114848	0.1201546	0.1259032	0.1231916	0.0899323
cardio2_FGF.23	0.0185284	NA	NA	NA	0.001849167	NA	NA	NA
cardio2_SPON2	0.002601692	0.003407902	0.002090254	NA	0.006512456	0.0002927999	0.00113328	NA
cardio2_GH	0.002204988	0.0008540109	NA	NA	NA	0.0008406663	NA	NA
cardio2_FS	0.0609745	0.06720538	0.06021386	0.03914927	0.02720439	0.04095906	0.01382292	0.0001873703
cardio2_GLO1	0.06492844	0.05851337	0.05156127	0.05076194	0.05116729	NA	NA	0.007285029
cardio2_CD84	0.01211076	0.01578114	0.05492825	0.009228277	0.0491379	0.01554787	0.001001347	NA
cardio2_PAPPA	0.004244085	0.02263759	0.01710147	0.007511349	0.01130933	0.01250767	0.01027574	0.007088823
cardio2_SERPINA12	0.2947148	0.1744086	0.1704729	0.2828826	0.3105505	0.3266078	0.3280127	0.2340211
cardio2_REN	0.002579399	0.004283396	0.002701071	0.004199387	0.004370966	NA	0.005404846	0.009644289
cardio2_DECR1	0.002286986	NA	0.0007624789	0.0003186465	0.0003235711	0.0004852574	NA	0.0007695448
cardio2_MERTK	0.0406198	0.02385089	0.0176859	NA	0.02242534	0.01053694	0.006111982	NA
cardio2_KIM1	0.1041355	0.04145911	0.09116259	0.08410173	0.1082209	0.1012226	0.05689765	0.009236826
cardio2_THBS2	0.07277762	0.08459023	0.05740992	0.07061935	0.04466999	0.01531116	0.0160361	NA
cardio2_TM	0.03280645	0.01447178	0.0216194	0.02447777	0.02578111	0.01173274	0.01865054	0.02028675
cardio2_VSIG2	0.0001098357	0.0002481134	NA	NA	0.0002529694	0.002196125	0.002577381	NA
cardio2_AMBP	0.01095913	0.02734125	0.04407043	0.02413118	0.01975845	NA	0.002960535	NA
cardio2_PRELP	0.01655686	0.001044923	0.009390735	0.0006069984	0.00218419	0.0090638	NA	NA
cardio2_HO.1	0.00667573	NA	NA	0.0001514903	NA	NA	0.003222917	NA
cardio2_XCL1	0.183213	0.1417339	0.1501779	0.1557941	0.1632919	0.1664731	0.1715544	0.1708142
